"","AREA","WATERBODY","SPECIES","mean5y","n5y","mean15y","n15y"
"1",26,"AMAI CREEK","Chinook",NA,0,1,2
"2",26,"AMAI CREEK","Chum",NA,0,610.5,6
"3",26,"AMAI CREEK","Coho",NA,0,246.166666666667,6
"4",26,"AMAI CREEK","Sockeye",NA,0,NA,0
"5",26,"ARTLISH RIVER","Chinook",304.333333333333,3,345.461538461538,13
"6",26,"ARTLISH RIVER","Chum",1729.66666666667,3,4634.91666666667,12
"7",26,"ARTLISH RIVER","Coho",1471,3,1817.91666666667,12
"8",26,"ARTLISH RIVER","Pink",0,1,0.5,2
"9",26,"ARTLISH RIVER","Sockeye",13,2,13.1818181818182,11
"10",23,"CARNATION CREEK","Chum",7,1,189.333333333333,6
"11",23,"CARNATION CREEK","Coho",134.25,4,204.285714285714,14
"12",26,"CHAMISS CREEK","Chum",135,1,3019.33333333333,6
"13",26,"CHAMISS CREEK","Coho",128,1,88.5,6
"14",26,"CLANNINICK CREEK","Chum",NA,0,4672.4,5
"15",26,"CLANNINICK CREEK","Coho",NA,0,293,6
"16",23,"CLEMENS CREEK","Chinook",73.25,4,110.357142857143,14
"17",23,"CLEMENS CREEK","Chum",36.25,4,125.428571428571,14
"18",23,"CLEMENS CREEK","Coho",1033,4,2073.64285714286,14
"19",23,"CLEMENS CREEK","Sockeye",12035.3333333333,3,12035.3333333333,3
"20",26,"EASY CREEK","Chinook",20,1,17.5,4
"21",26,"EASY CREEK","Chum",129,1,2982.71428571429,7
"22",26,"EASY CREEK","Coho",106,1,240.714285714286,7
"23",23,"EFFINGHAM RIVER","Chinook",16.5,4,24.5,6
"24",23,"EFFINGHAM RIVER","Chum",871,4,683.333333333333,6
"25",23,"EFFINGHAM RIVER","Coho",439.5,4,374.5,6
"26",23,"HENDERSON LAKE","Chinook",NA,0,NA,0
"27",23,"HENDERSON LAKE","Chum",NA,0,NA,0
"28",23,"HENDERSON LAKE","Coho",NA,0,NA,0
"29",23,"HENDERSON LAKE","Sockeye",10487.75,4,16488.7857142857,14
"30",26,"JANSEN LAKE CREEK","Coho",NA,0,174.8,5
"31",26,"KAOUK RIVER","Chinook",505.666666666667,3,416.230769230769,13
"32",26,"KAOUK RIVER","Chum",2760,2,6758.16666666667,12
"33",26,"KAOUK RIVER","Coho",3014,2,3194.58333333333,12
"34",26,"KAOUK RIVER","Pink",3,1,6,7
"35",26,"KAOUK RIVER","Sockeye",16.5,2,71.6666666666667,12
"36",26,"KASHUTL RIVER","Chinook",1,1,3,5
"37",26,"KASHUTL RIVER","Chum",138,1,1854.11111111111,9
"38",26,"KASHUTL RIVER","Coho",179,1,245.333333333333,9
"39",26,"KASHUTL RIVER","Sockeye",3,1,14.2,5
"40",26,"KAUWINCH RIVER","Chinook",NA,0,153.571428571429,7
"41",26,"KAUWINCH RIVER","Chum",373,1,1634.11111111111,9
"42",26,"KAUWINCH RIVER","Coho",32,1,1291.77777777778,9
"43",26,"KAUWINCH RIVER","Sockeye",NA,0,32.6666666666667,6
"44",21,"KLANAWA RIVER","Chinook",0,1,22.5,4
"45",21,"KLANAWA RIVER","Chum",0,1,281,4
"46",21,"KLANAWA RIVER","Coho",16,1,420,4
"47",21,"KLANAWA RIVER","Sockeye",0,1,45,2
"48",23,"LITTLE TOQUART CREEK","Chum",2155.5,4,1994.33333333333,6
"49",23,"LITTLE TOQUART CREEK","Coho",26,3,18.6,5
"50",23,"MAGGIE RIVER","Chum",29.6666666666667,3,17.8,5
"51",23,"MAGGIE RIVER","Coho",297.75,4,465.5,6
"52",26,"MALKSOPE RIVER","Chinook",39,1,32.2222222222222,9
"53",26,"MALKSOPE RIVER","Chum",3228,2,6493.1,10
"54",26,"MALKSOPE RIVER","Coho",1394.5,2,2352.7,10
"55",26,"MALKSOPE RIVER","Pink",NA,0,1,1
"56",26,"MALKSOPE RIVER","Sockeye",17,1,13.6,5
"57",23,"NAHMINT RIVER","Chinook",826.75,4,517.571428571429,14
"58",23,"NAHMINT RIVER","Chum",3312.25,4,8232.35714285714,14
"59",23,"NAHMINT RIVER","Coho",309.25,4,394.923076923077,13
"60",23,"NAHMINT RIVER","Pink",0,3,3.42857142857143,7
"61",23,"NAHMINT RIVER","Sockeye",609.75,4,1069.35714285714,14
"62",26,"OUOUKINSH RIVER","Chinook",NA,0,7,1
"63",26,"OUOUKINSH RIVER","Chum",NA,0,10446,1
"64",26,"OUOUKINSH RIVER","Coho",NA,0,702,1
"65",23,"PACHENA RIVER","Chum",25,3,29.8,5
"66",23,"PACHENA RIVER","Coho",227,3,569.6,5
"67",26,"POWER RIVER","Chinook",NA,0,NA,0
"68",26,"POWER RIVER","Chum",27,1,21,3
"69",26,"POWER RIVER","Coho",220,2,142.8,5
"70",26,"POWER RIVER","Sockeye",NA,0,43.3333333333333,3
"71",23,"SARITA RIVER","Chinook",2981.5,4,2173.85714285714,14
"72",23,"SARITA RIVER","Chum",3872,4,9096.21428571429,14
"73",23,"SARITA RIVER","Coho",272.333333333333,3,741.307692307692,13
"74",23,"SARITA RIVER","Pink",1.5,4,7.8,10
"75",23,"SARITA RIVER","Sockeye",16.5,4,87.7272727272727,11
"76",23,"SMITH CREEK","Chinook",0,2,0,2
"77",23,"SMITH CREEK","Chum",1288.5,4,1806.2,5
"78",23,"SMITH CREEK","Coho",6,3,37,4
"79",26,"TAHSISH RIVER","Chinook",1362.33333333333,3,809.230769230769,13
"80",26,"TAHSISH RIVER","Chum",5755.5,2,4481.75,12
"81",26,"TAHSISH RIVER","Coho",4096.66666666667,3,3677.61538461538,13
"82",26,"TAHSISH RIVER","Pink",NA,0,7.85714285714286,7
"83",26,"TAHSISH RIVER","Sockeye",20.5,2,90.75,12
"84",23,"THORNTON CREEK","Chinook",339,1,1133,2
"85",23,"THORNTON CREEK","Chum",161,1,90.5,2
"86",23,"THORNTON CREEK","Coho",1,1,227,2
"87",23,"THORNTON CREEK","Pink",0,1,0,1
"88",23,"TOQUART RIVER","Chinook",62.5,4,197.416666666667,12
"89",23,"TOQUART RIVER","Chum",3706.75,4,2449,12
"90",23,"TOQUART RIVER","Coho",736.5,4,695.75,12
"91",23,"TOQUART RIVER","Pink",0,2,13.125,8
"92",23,"TOQUART RIVER","Sockeye",9.75,4,61.0833333333333,12
"93",23,"TWIN RIVERS EAST CREEK","Chum",215.5,4,173.714285714286,7
"94",23,"TWIN RIVERS EAST CREEK","Coho",30,4,36.7142857142857,7
"95",23,"UCHUCK CREEK","Chum",4,1,104,2
"96",23,"UCHUCK CREEK","Coho",19,1,27.5,2
"97",23,"CONSINKA CREEK","Chinook",0,1,0,1
"98",23,"CONSINKA CREEK","Chum",0,1,160,2
"99",23,"CONSINKA CREEK","Coho",4,1,4,1
"100",23,"LITTLE TOQUART CREEK","Sockeye",0,2,0,2
"101",23,"MAGGIE RIVER","Chinook",1.5,2,1.5,2
"102",23,"RITHERDON CREEK","Chum",0,1,3,2
"103",23,"RITHERDON CREEK","Coho",9,1,9,1
"104",23,"SUGSAW CREEK","Chinook",0,2,0,2
"105",23,"SUGSAW CREEK","Chum",353,3,514.75,4
"106",23,"SUGSAW CREEK","Coho",2.5,2,2.5,2
"107",23,"LITTLE TOQUART CREEK","Chinook",0,1,0,1
"108",26,"YAKU RIVER","Chum",NA,0,NA,0
"109",26,"YAKU RIVER","Coho",NA,0,NA,0
"110",23,"CANOE PASS CREEK","Chum",NA,0,NA,0
"111",23,"CANOE PASS CREEK","Coho",NA,0,NA,0
"112",23,"CASS CREEK","Chum",NA,0,NA,0
"113",23,"CASS CREEK","Coho",NA,0,NA,0
"114",23,"CATARACT CREEK","Chum",NA,0,NA,0
"115",23,"CATARACT CREEK","Coho",NA,0,NA,0
"116",23,"COEUR D'ALENE CREEK","Chinook",NA,0,NA,0
"117",23,"COEUR D'ALENE CREEK","Chum",NA,0,NA,0
"118",23,"COEUR D'ALENE CREEK","Coho",NA,0,NA,0
"119",23,"COLEMAN CREEK","Chum",NA,0,NA,0
"120",23,"COLEMAN CREEK","Coho",NA,0,NA,0
"121",23,"DUTCH HARBOUR CREEK EAST","Chum",NA,0,NA,0
"122",23,"DUTCH HARBOUR CREEK EAST","Coho",NA,0,NA,0
"123",23,"DUTCH HARBOUR CREEK WEST","Chum",NA,0,NA,0
"124",23,"DUTCH HARBOUR CREEK WEST","Coho",NA,0,NA,0
"125",26,"ELAINE CREEK","Chum",NA,0,NA,0
"126",26,"ELAINE CREEK","Coho",NA,0,NA,0
"127",23,"FREDERICK CREEK","Chum",NA,0,NA,0
"128",23,"FREDERICK CREEK","Coho",NA,0,NA,0
"129",23,"HILLIER CREEK","Chum",NA,0,NA,0
"130",23,"HILLIER CREEK","Coho",NA,0,NA,0
"131",23,"HOLFORD CREEK","Chum",NA,0,NA,0
"132",23,"HOLFORD CREEK","Coho",NA,0,NA,0
"133",23,"ITATSOO CREEK","Chum",NA,0,NA,0
"134",23,"ITATSOO CREEK","Coho",NA,0,NA,0
"135",23,"ITATSOO CREEK","Sockeye",NA,0,NA,0
"136",26,"JANSEN LAKE CREEK","Chum",NA,0,0,3
"137",26,"JANSEN LAKE CREEK","Sockeye",NA,0,0,4
"138",23,"LITTLE MAGGIE RIVER","Chum",NA,0,NA,0
"139",23,"LITTLE MAGGIE RIVER","Coho",NA,0,NA,0
"140",24,"LOST SHOE CREEK","Chum",NA,0,127,2
"141",24,"LOST SHOE CREEK","Coho",NA,0,22,3
"142",23,"LUCKY CREEK","Chum",NA,0,NA,0
"143",23,"LUCKY CREEK","Coho",NA,0,NA,0
"144",23,"PIPESTEAM CREEK","Chum",NA,0,NA,0
"145",23,"PIPESTEAM CREEK","Coho",NA,0,NA,0
"146",23,"POETT NOOK CREEK","Chum",NA,0,10,1
"147",23,"POETT NOOK CREEK","Coho",NA,0,2,1
"148",24,"SANDHILL CREEK","Chum",NA,0,32,1
"149",24,"SANDHILL CREEK","Coho",NA,0,4,1
"150",23,"SECHART CREEK","Chum",NA,0,NA,0
"151",23,"SECHART CREEK","Coho",NA,0,NA,0
"152",23,"USELESS CREEK","Chum",NA,0,NA,0
"153",23,"USELESS CREEK","Coho",NA,0,NA,0
"154",23,"VERNON BAY CREEK","Chum",NA,0,NA,0
"155",23,"VERNON BAY CREEK","Coho",NA,0,NA,0
"156",23,"WALLACE CREEK","Chinook",NA,0,NA,0
"157",23,"WALLACE CREEK","Chum",NA,0,NA,0
"158",23,"WALLACE CREEK","Coho",NA,0,NA,0
"159",26,"BATTLE BAY RIVER","Chum",NA,NA,NA,0
"160",26,"BATTLE BAY RIVER","Coho",NA,NA,NA,0
"161",26,"CACHALOT CREEK","Chum",NA,NA,298.25,4
"162",26,"CACHALOT CREEK","Coho",NA,NA,37.75,4
"163",26,"MCKAY COVE CREEK","Chinook",NA,NA,NA,0
"164",26,"MCKAY COVE CREEK","Chum",NA,NA,NA,0
"165",26,"MCKAY COVE CREEK","Coho",NA,NA,NA,0
"166",23,"MERCANTILE CREEK","Chinook",NA,NA,25,1
"167",23,"MERCANTILE CREEK","Chum",NA,NA,62,1
"168",23,"MERCANTILE CREEK","Coho",NA,NA,NA,0
"169",26,"NARROWGUT CREEK","Chinook",NA,NA,1,2
"170",26,"NARROWGUT CREEK","Chum",NA,NA,1658.25,4
"171",26,"NARROWGUT CREEK","Coho",NA,NA,368.8,5
"172",26,"NARROWGUT CREEK","Sockeye",NA,NA,NA,0
"173",26,"NASPARTI RIVER","Chum",NA,NA,NA,0
"174",26,"NASPARTI RIVER","Coho",NA,NA,NA,0
"175",23,"SNUG BASIN CREEK","Chum",NA,NA,NA,0
"176",23,"SNUG BASIN CREEK","Coho",NA,NA,NA,0
"177",26,"SOATWOON CREEK","Chum",NA,NA,NA,0
"178",26,"SOATWOON CREEK","Coho",NA,NA,NA,0
"179",23,"TWIN RIVERS WEST CREEK","Chum",NA,NA,NA,0
"180",23,"TWIN RIVERS WEST CREEK","Coho",NA,NA,NA,0
"181",23,"UCHUCK CREEK","Chinook",NA,NA,NA,0
"182",23,"MERCANTILE CREEK","Sockeye",NA,NA,NA,NA
"183",23,"NAHMINT RIVER","Steelhead",NA,NA,NA,NA
"184",26,"BRITISH CREEK","Chum",NA,NA,NA,NA
"185",26,"BRITISH CREEK","Coho",NA,NA,NA,NA
"186",23,"DRAW CREEK","Chum",NA,NA,NA,NA
"187",23,"DRAW CREEK","Coho",NA,NA,NA,NA
"188",26,"KAPOOSE CREEK","Chum",NA,NA,NA,NA
"189",26,"KAPOOSE CREEK","Coho",NA,NA,NA,NA
"190",23,"LUCKY CREEK","Chinook",NA,NA,NA,NA
"191",26,"PORRITT CREEK","Chum",NA,NA,NA,NA
"192",26,"PORRITT CREEK","Coho",NA,NA,NA,NA
"193",26,"SILBURN CREEK","Chum",NA,NA,NA,NA
"194",26,"SILBURN CREEK","Coho",NA,NA,NA,NA
"195",26,"ARTLISH RIVER","Steelhead",NA,NA,NA,NA
"196",23,"CARNATION CREEK","Chinook",NA,NA,NA,NA
"197",23,"CARNATION CREEK","Pink",NA,NA,NA,NA
"198",23,"CARNATION CREEK","Sockeye",NA,NA,NA,NA
"199",26,"CHAMISS CREEK","Chinook",NA,NA,NA,NA
"200",26,"CHAMISS CREEK","Sockeye",NA,NA,NA,NA
"201",26,"EASY CREEK","Sockeye",NA,NA,NA,NA
"202",26,"ELAINE CREEK","Chinook",NA,NA,NA,NA
"203",26,"KAOUK RIVER","Steelhead",NA,NA,NA,NA
"204",26,"KAUWINCH RIVER","Pink",NA,NA,NA,NA
"205",23,"SMITH CREEK","Pink",NA,NA,NA,NA
"206",23,"SMITH CREEK","Sockeye",NA,NA,NA,NA
"207",23,"SNUG BASIN CREEK","Chinook",NA,NA,NA,NA
"208",26,"TAHSISH RIVER","Steelhead",NA,NA,NA,NA
"209",23,"THORNTON CREEK","Sockeye",NA,NA,NA,NA
"210",23,"TOQUART RIVER","Steelhead",NA,NA,NA,NA
"211",23,"TWIN RIVERS EAST CREEK","Pink",NA,NA,NA,NA
"212",23,"TWIN RIVERS EAST CREEK","Sockeye",NA,NA,NA,NA
"213",26,"CACHALOT CREEK","Chinook",NA,NA,NA,NA
"214",26,"CACHALOT CREEK","Pink",NA,NA,NA,NA
"215",26,"CACHALOT CREEK","Sockeye",NA,NA,NA,NA
"216",26,"CHAMISS CREEK","Pink",NA,NA,NA,NA
"217",26,"CLANNINICK CREEK","Chinook",NA,NA,NA,NA
"218",26,"CLANNINICK CREEK","Pink",NA,NA,NA,NA
"219",26,"CLANNINICK CREEK","Sockeye",NA,NA,NA,NA
"220",23,"CLEMENS CREEK","Steelhead",NA,NA,NA,NA
"221",23,"COLEMAN CREEK","Chinook",NA,NA,NA,NA
"222",23,"COLEMAN CREEK","Pink",NA,NA,NA,NA
"223",23,"COLEMAN CREEK","Sockeye",NA,NA,NA,NA
"224",23,"CONSINKA CREEK","Pink",NA,NA,NA,NA
"225",23,"CONSINKA CREEK","Sockeye",NA,NA,NA,NA
"226",23,"DUTCH HARBOUR CREEK EAST","Chinook",NA,NA,NA,NA
"227",23,"DUTCH HARBOUR CREEK EAST","Pink",NA,NA,NA,NA
"228",23,"DUTCH HARBOUR CREEK EAST","Sockeye",NA,NA,NA,NA
"229",23,"DUTCH HARBOUR CREEK WEST","Chinook",NA,NA,NA,NA
"230",23,"DUTCH HARBOUR CREEK WEST","Pink",NA,NA,NA,NA
"231",23,"DUTCH HARBOUR CREEK WEST","Sockeye",NA,NA,NA,NA
"232",26,"EASY CREEK","Pink",NA,NA,NA,NA
"233",23,"EFFINGHAM RIVER","Pink",NA,NA,NA,NA
"234",23,"EFFINGHAM RIVER","Sockeye",NA,NA,NA,NA
"235",26,"KASHUTL RIVER","Pink",NA,NA,NA,NA
"236",21,"KLANAWA RIVER","Pink",NA,NA,NA,NA
"237",23,"POETT NOOK CREEK","Chinook",NA,NA,NA,NA
"238",23,"POETT NOOK CREEK","Pink",NA,NA,NA,NA
"239",23,"POETT NOOK CREEK","Sockeye",NA,NA,NA,NA
"240",23,"RITHERDON CREEK","Chinook",NA,NA,NA,NA
"241",23,"RITHERDON CREEK","Pink",NA,NA,NA,NA
"242",23,"RITHERDON CREEK","Sockeye",NA,NA,NA,NA
"243",23,"SARITA RIVER","Steelhead",NA,NA,NA,NA
"244",23,"SNUG BASIN CREEK","Pink",NA,NA,NA,NA
"245",23,"SNUG BASIN CREEK","Sockeye",NA,NA,NA,NA
"246",23,"UCHUCK CREEK","Pink",NA,NA,NA,NA
"247",23,"UCHUCK CREEK","Sockeye",NA,NA,NA,NA
"248",23,"VERNON BAY CREEK","Chinook",NA,NA,NA,NA
"249",23,"VERNON BAY CREEK","Pink",NA,NA,NA,NA
"250",23,"VERNON BAY CREEK","Sockeye",NA,NA,NA,NA
"251",23,"WALLACE CREEK","Pink",NA,NA,NA,NA
"252",23,"WALLACE CREEK","Sockeye",NA,NA,NA,NA
"253",26,"AMAI CREEK","Pink",NA,NA,NA,NA
"254",26,"BATTLE BAY RIVER","Chinook",NA,NA,NA,NA
"255",26,"BATTLE BAY RIVER","Pink",NA,NA,NA,NA
"256",26,"BATTLE BAY RIVER","Sockeye",NA,NA,NA,NA
"257",26,"BRITISH CREEK","Chinook",NA,NA,NA,NA
"258",26,"BRITISH CREEK","Pink",NA,NA,NA,NA
"259",26,"BRITISH CREEK","Sockeye",NA,NA,NA,NA
"260",23,"CANOE PASS CREEK","Chinook",NA,NA,NA,NA
"261",23,"CANOE PASS CREEK","Pink",NA,NA,NA,NA
"262",23,"CANOE PASS CREEK","Sockeye",NA,NA,NA,NA
"263",23,"CASS CREEK","Chinook",NA,NA,NA,NA
"264",23,"CASS CREEK","Pink",NA,NA,NA,NA
"265",23,"CASS CREEK","Sockeye",NA,NA,NA,NA
