GFE_ID,SYSTEM_SITE,GFE_TYPE,SPECIES_QUALIFIED,Y_LAT,X_LONGT,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO,CU_NAME,CU_ACRO,CU_LAT,CU_LONGT,CU_TYPE,CU_INDEX,FULL_CU_IN,SBJ_ID,POP_ID,IS_INDICATOR,CMNTS,EFFECTIVE_DT,WATERSHED_CDE,FWA_WATERSHED_CDE,MDFA_location
1410,AMAI CREEK,Stream,CM,50.02348098,-127.0772848,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,41841,N,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-653300-00000-00000-0000-0000-000-000-000-000-000-000,930-651588-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North
1413,ARTLISH RIVER,Stream,CM,50.1150961,-127.0875277,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,41871,Y,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-671100-00000-00000-0000-0000-000-000-000-000-000-000,930-671111-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North
1429,BATTLE BAY RIVER,Stream,CM,50.1213242,-127.5867074,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,39696,N,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-739000-00000-00000-0000-0000-000-000-000-000-000-000,930-738595-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North
1423,BRITISH CREEK,Stream,CM,50.05320563,-127.2878126,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,39636,N,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-702700-00000-00000-0000-0000-000-000-000-000-000-000,930-702640-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North
1408,CACHALOT CREEK,Stream,CM,49.99797765,-127.1648176,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,41821,N,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-647000-00000-00000-0000-0000-000-000-000-000-000-000,930-644889-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North
1281,CANOE PASS CREEK,Stream,CM,48.95771823,-125.2190425,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,40726,N,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-207400-00000-00000-0000-0000-000-000-000-000-000-000,930-201925-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,South
1254,CARNATION CREEK,Stream,CM,48.91360195,-125.0037843,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,40476,Y,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,930-113555-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,South
1271,CASS CREEK,Stream,CM,49.00551757,-125.0043534,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,40626,N,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-159800-00000-00000-0000-0000-000-000-000-000-000-000,930-161554-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,South
1285,CATARACT CREEK,Stream,CM,49.01649677,-125.2779667,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,40766,N,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-220100-00000-00000-0000-0000-000-000-000-000-000-000,930-214171-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,South
1422,CHAMISS CREEK,Stream,CM,50.07917039,-127.2889006,WVI,WVI,WVI+WVI,SOUTHWEST VANCOUVER ISLAND,SWVI,49.36436517,-125.6236568,Current,10,CM-10,4,39626,N,Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ,8-Mar-11,930-700400-00000-00000-0000-0000-000-000-000-000-000-000,930-700522-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North
