SYSTEM_SITE,CK,CM,CO,PKE,PKO,SEL,SER
AMAI CREEK,NA,41841,NA,NA,NA,NA,NA
ARTLISH RIVER,41873,41871,41867,41869,41869,NA,41865
BATTLE BAY RIVER,39698,39696,39692,39694,39694,NA,39690
CACHALOT CREEK,NA,41821,NA,NA,NA,NA,NA
CARNATION CREEK,40478,40476,40472,40474,40474,NA,40470
CHAMISS CREEK,39628,39626,39622,39624,NA,NA,39620
CLANNINICK CREEK,39658,39656,39652,39654,39654,NA,39650
CLEMENS CREEK,131,3175,130,NA,NA,NA,129
COEUR D'ALENE CREEK,40698,40696,40692,NA,NA,NA,40690
COLEMAN CREEK,NA,40506,NA,NA,NA,NA,NA
EASY CREEK,40888,40886,40882,40884,NA,NA,40880
EFFINGHAM RIVER,40708,40706,40702,40704,40704,NA,40700
ELAINE CREEK,40898,40896,40892,40894,NA,NA,NA
HENDERSON LAKE,40648,40646,40642,40644,40644,40640,NA
JANSEN LAKE CREEK,39618,39616,39612,39614,NA,39610,NA
KAOUK RIVER,41863,41861,41857,41859,41859,NA,41855
KAPOOSE CREEK,NA,41811,NA,NA,NA,NA,NA
KASHUTL RIVER,40878,40876,40872,40874,40874,NA,40870
KAUWINCH RIVER,40868,40866,40862,40864,40864,NA,40860
KLANAWA RIVER,NA,40416,NA,NA,NA,NA,NA
LITTLE TOQUART CREEK,39538,39536,39532,NA,NA,NA,39530
MALKSOPE RIVER,39668,39666,39662,39664,39664,NA,39660
NAHMINT RIVER,NA,40616,NA,NA,NA,NA,NA
NARROWGUT CREEK,NA,41831,NA,NA,NA,NA,NA
NASPARTI RIVER,39708,39706,39702,39704,39704,NA,39700
OUOUKINSH RIVER,39678,39676,39672,39674,39674,NA,39670
PACHENA RIVER,NA,40426,40422,NA,40424,NA,40420
POWER RIVER,39688,39686,39682,39684,39684,39680,NA
RITHERDON CREEK,NA,40496,40492,NA,NA,NA,40490
SARITA RIVER,40458,40456,40452,40454,40454,NA,40450
SMITH CREEK,40818,40816,40812,40814,40814,NA,40810
SNUG BASIN CREEK,40638,40636,40632,NA,NA,NA,NA
SUGSAW CREEK,40438,40436,40432,NA,NA,NA,40430
TAHSISH RIVER,41883,41881,41877,41879,41879,NA,41875
THORNTON CREEK,40808,40806,40802,40804,40804,NA,40800
TOQUART RIVER,40798,40796,40792,40794,40794,NA,40790
TWIN RIVERS EAST CREEK,NA,39566,39562,NA,39564,NA,39560
UCHUCK CREEK,40658,40656,40652,NA,NA,NA,40650
VERNON BAY CREEK,NA,40686,40682,NA,NA,NA,40680
YAKU RIVER,NA,40856,40852,40854,NA,NA,NA
